datetime,actual,lstm,lstm_margin,hybrid,prophet
2026-01-05 21:15:00,3.31,3.1646234035491947,3.3310695505142216,3.1646234035491947,2.8874030142159364
2026-01-05 21:30:00,3.31,3.1289842700958257,3.2954304170608526,3.1289842700958257,2.856503937693044
2026-01-05 21:45:00,3.19,3.089865589141846,3.256311736106873,3.089865589141846,2.829381987132413
2026-01-05 22:00:00,3.16,3.0444520854949957,3.2108982324600226,3.0444520854949957,2.7989600104270256
2026-01-05 22:15:00,3.13,3.006303176879883,3.17274932384491,3.006303176879883,2.775640900343118
2026-01-05 22:30:00,3.04,2.9618779277801517,3.1283240747451786,2.9618779277801517,2.7517373861715853
2026-01-05 22:45:00,3.01,2.9153872919082646,3.0818334388732915,2.9153872919082646,2.7256436119245016
2026-01-05 23:00:00,2.94,2.8654964733123784,3.0319426202774054,2.8654964733123784,2.6787927694883003
2026-01-05 23:15:00,2.83,2.823405961990357,2.989852108955384,2.823405961990357,2.645176623545245
2026-01-05 23:30:00,2.72,2.7761344528198246,2.9425805997848515,2.7761344528198246,2.607479409982049
2026-01-05 23:45:00,2.67,2.7316869163513187,2.8981330633163456,2.7316869163513187,2.566407013398702
2026-01-06 00:00:00,2.67,2.7076720046997074,2.8741181516647343,2.7076720046997074,2.5235686909116017
2026-01-06 00:15:00,2.62,2.649156517982483,2.81560266494751,2.649156517982483,2.4800780619710316
2026-01-06 00:30:00,2.55,2.6072089719772342,2.773655118942261,2.6072089719772342,2.4381380908370933
2026-01-06 00:45:00,2.5,2.559344944953919,2.725791091918946,2.559344944953919,2.399556460334807
2026-01-06 01:00:00,2.4,2.5232603359222416,2.6897064828872685,2.5232603359222416,2.3087276155767746
2026-01-06 01:15:00,2.41,2.490634346008301,2.657080492973328,2.490634346008301,2.280711601080953
2026-01-06 01:30:00,2.38,2.45856390953064,2.625010056495667,2.45856390953064,2.258692469003958
2026-01-06 01:45:00,2.31,2.4251801490783693,2.5916262960433962,2.4251801490783693,2.242234245166944
2026-01-06 02:00:00,2.3,2.4075266504287725,2.5739727973937994,2.4075266504287725,2.2371320253107037
2026-01-06 02:15:00,2.3,2.3524629878997807,2.5189091348648076,2.3524629878997807,2.2281949265969043
2026-01-06 02:30:00,2.26,2.3179018020629885,2.4843479490280154,2.3179018020629885,2.2205467024163505
2026-01-06 02:45:00,2.2,2.2931250429153445,2.4595711898803714,2.2931250429153445,2.212504284459598
2026-01-06 03:00:00,2.2,2.2782241702079773,2.444670317173004,2.2782241702079773,2.179070484643576
2026-01-06 03:15:00,2.2,2.052317225933075,2.2187633728981018,2.052317225933075,2.1665728453024427
