datetime,actual,lstm,lstm_margin,hybrid,prophet
2025-12-28 09:15:00,10.91,8.759248528778553,9.384694209247828,8.879179643157297,10.007103562526813
2025-12-28 09:30:00,10.99,8.93196835398674,9.557414034456015,9.050625047699858,10.166563340490775
2025-12-28 09:45:00,10.99,9.064837132394313,9.690282812863588,9.185140546391555,10.316565856097107
2025-12-28 10:00:00,11.09,9.19340037614107,9.818846056610345,9.3274564427348,10.588222215077678
2025-12-28 10:15:00,11.43,9.284748744666576,9.91019442513585,9.420135580231912,10.69341692171637
2025-12-28 10:30:00,11.67,9.429674859642983,10.055120540112258,9.558139299734348,10.76631714013924
2025-12-28 10:45:00,11.56,9.556674158871173,10.182119839340448,9.676564672517134,10.804106751545328
2025-12-28 11:00:00,11.91,9.65531232714653,10.280758007615805,9.786823854681733,11.023658835730398
2025-12-28 11:15:00,11.97,9.766818281412124,10.3922639618814,9.885103480614765,10.99754795492119
2025-12-28 11:30:00,12.13,9.791283170580865,10.41672885105014,9.902629849368669,10.94981917131979
2025-12-28 11:45:00,11.81,9.874016224741936,10.499461905211211,9.971759937754959,10.891016566416083
2025-12-28 12:00:00,12.06,9.924394270181656,10.54983995065093,10.021713809625279,10.936981185644441
2025-12-28 12:15:00,11.95,9.901693903803826,10.527139584273101,9.996812791518613,10.891383555686764
2025-12-28 12:30:00,11.76,10.024214682877064,10.649660363346339,10.105339908049446,10.868303567731624
2025-12-28 12:45:00,11.49,10.064833374917507,10.690279055386782,10.142692422149656,10.874938446606079
2025-12-28 13:00:00,11.79,10.044147988855839,10.669593669325113,10.13994997654523,11.040945135289121
2025-12-28 13:15:00,11.74,10.10905363202095,10.734499312490225,10.205551772277188,11.113094082156488
2025-12-28 13:30:00,11.74,10.141180823445321,10.766626503914596,10.244178262659823,11.212844950413317
2025-12-28 13:45:00,11.38,10.16555975049734,10.791005430966615,10.27767611680506,11.332104168827586
2025-12-28 14:00:00,11.66,10.177827924191952,10.803273604661227,10.279139424050697,11.231950248746369
2025-12-28 14:15:00,11.6,10.236950404047967,10.862396084517242,10.344764374252902,11.358729402980204
2025-12-28 14:30:00,11.82,10.25987505018711,10.885320730656385,10.376527095333412,11.473612139906358
2025-12-28 14:45:00,11.9,10.275469922423364,10.900915602892638,10.399757729464646,11.568655318501762
2025-12-28 15:00:00,12.1,10.3060370606184,10.931482741087676,10.422403055261766,11.516797862142166
2025-12-28 15:15:00,12.09,11.20431995511055,11.829765635579825,11.238714325009616,11.562185283332287
2025-12-28 15:30:00,12.04,11.304488107562065,11.92993378803134,11.331510104642675,11.585645630808962
2025-12-28 15:45:00,12.03,11.338732160329819,11.964177840799094,11.363254360718736,11.59387988702614
2025-12-28 16:00:00,12.02,11.400868266820908,12.026313947290182,11.406768104324932,11.462254688233145
2025-12-28 16:15:00,11.87,11.407568359375,12.033014039844275,11.413420728301968,11.46846088140899
2025-12-28 16:30:00,11.81,11.508915926218034,12.134361606687309,11.506947218574801,11.488431986288742
2025-12-28 16:45:00,11.95,11.544810593128204,12.170256273597479,11.543377559779502,11.529900218227004
2025-12-28 17:00:00,11.9,11.558668535351753,12.184114215821028,11.555615827575137,11.526905829023649
2025-12-28 17:15:00,11.84,11.636218392252923,12.261664072722198,11.634765425097152,11.62110061077819
2025-12-28 17:30:00,11.93,11.64444882273674,12.269894503206014,11.653477298525532,11.738387989553281
2025-12-28 17:45:00,12.13,11.667463322281838,12.292909002751113,11.687057897097459,11.871340264012
2025-12-28 18:00:00,12.42,11.636462482213974,12.261908162683248,11.648895921016724,11.765829488242236
2025-12-28 18:15:00,13.25,11.68824492931366,12.313690609782935,11.708319334405275,11.897114392195192
2025-12-28 18:30:00,13.61,11.60239884376526,12.227844524234534,11.641485126176336,12.009082417997217
2025-12-28 18:45:00,13.4,11.608944699764251,12.234390380233526,11.65523458983033,12.09058011714387
2025-12-28 19:00:00,13.48,11.525729125738144,12.151174806207418,11.576867267221228,12.05780945865888
2025-12-28 19:15:00,13.2,11.482750189900399,12.108195870369673,11.537858657731842,12.056140834537047
2025-12-28 19:30:00,12.97,11.36281782567501,11.988263506144285,11.424951599944468,12.009305131238314
2025-12-28 19:45:00,12.8,11.2437153673172,11.869161047786475,11.308731626760862,11.920194253071925
2025-12-28 20:00:00,12.55,11.103081344366073,11.728527024835348,11.167295323135258,11.77121268842315
2025-12-28 20:15:00,12.33,11.081454266309738,11.706899946779012,11.13309805141648,11.618795702192243
2025-12-28 20:30:00,12.28,10.91598532795906,11.541431008428335,10.967207586533513,11.448940879428651
2025-12-28 20:45:00,12.26,10.760725717544556,11.38617139801383,10.80980542574271,11.27138853634028
2025-12-28 21:00:00,11.98,10.64848254084587,11.273928221315145,10.677507008562447,10.950475300019386
2025-12-28 21:15:00,11.96,11.036935087442398,11.662380767911673,11.012288923087446,10.780497544839484
2025-12-28 21:30:00,11.74,11.0095255535841,11.634971234053374,10.972159338889062,10.620738879326478
2025-12-28 21:45:00,11.64,10.814806147813798,11.440251828283072,10.781827703891187,10.471673196309174
2025-12-28 22:00:00,11.4,10.651072016954423,11.276517697423698,10.609702675173343,10.220633747021001
2025-12-28 22:15:00,11.14,10.475716020166875,11.10116170063615,10.438159274903546,10.084946920164636
2025-12-28 22:30:00,11.01,10.267547965049744,10.892993645519018,10.236955057000467,9.949235953158219
2025-12-28 22:45:00,10.83,10.111891443133354,10.737337123602629,10.082767630255677,9.808865020927495
2025-12-28 23:00:00,10.56,9.943328576087952,10.568774256557226,9.918376677401314,9.683709939681654
